1_ortho,2_phon,18_p_cvcv,24_nbsyll
a,a,V,1
a,a,V,1
a,a,V,1
a capella,akapEla,VCVCVCV,4
a cappella,akapEla,VCVCVCV,4
a contrario,ak§tRaRjo,VCVCCVCYV,4
a fortiori,afORsjoRi,VCVCCYVCV,4
a giorno,adZjORno,VCCYVCCV,3
a jeun,aZ1,VCV,2
a l'instar,al5staR,VCVCCVC,3
a posteriori,apOsteRjoRi,VCVCCVCYVCV,5
a priori,apRijoRi,VCCVYVCV,4
a priori,apRijoRi,VCCVYVCV,4
aa,aa,VV,2
ab absurdo,abapsuRdo,VCVCCVCCV,4
ab initio,abinisjo,VCVCVCYV,4
ab ovo,abovo,VCVCV,3
abaca,abaka,VCVCV,3
abaissa,abEsa,VCVCV,3
abaissai,abEsE,VCVCV,3
abaissaient,abEsE,VCVCV,3
abaissait,abEsE,VCVCV,3
abaissant,abEs@,VCVCV,3
abaissant,abEs@,VCVCV,3
abaissante,abEs@t,VCVCVC,3
abaisse,abEs,VCVC,2
abaisse,abEs,VCVC,2
abaisse-langue,abEsl@g,VCVCCVC,3
abaissement,abEs°m@,VCVCVCV,4
abaissent,abEs,VCVC,2
abaisser,abese,VCVCV,3
abaissera,abEs°Ra,VCVCVCV,4
abaisserai,abEs°RE,VCVCVCV,4
abaisseraient,abEs°RE,VCVCVCV,4
abaisserais,abEs°RE,VCVCVCV,4
abaisserait,abEs°RE,VCVCVCV,4
abaisses,abEs,VCVC,2
abaissez,abEse,VCVCV,3
abaissons,abEs§,VCVCV,3
abaissèrent,abEsER,VCVCVC,3
abaissé,abese,VCVCV,3
abaissé,abese,VCVCV,3
abaissée,abese,VCVCV,3
abaissée,abese,VCVCV,3
abaissées,abese,VCVCV,3
abaissées,abese,VCVCV,3
abaissés,abese,VCVCV,3
abaissés,abese,VCVCV,3
abalone,abalOn,VCVCVC,3
abalones,abalOn,VCVCVC,3
abandon,ab@d§,VCVCV,3
abandonna,ab@dona,VCVCVCV,4
abandonnai,ab@donE,VCVCVCV,4
abandonnaient,ab@donE,VCVCVCV,4
abandonnais,ab@donE,VCVCVCV,4
abandonnait,ab@donE,VCVCVCV,4
abandonnant,ab@don@,VCVCVCV,4
abandonnas,ab@dona,VCVCVCV,4
abandonne,ab@dOn,VCVCVC,3
abandonnent,ab@dOn,VCVCVC,3
abandonner,ab@done,VCVCVCV,4
abandonnera,ab@dOn°Ra,VCVCVCVCV,5
abandonnerai,ab@dOn°RE,VCVCVCVCV,5
abandonneraient,ab@dOn°RE,VCVCVCVCV,5
abandonnerais,ab@dOn°RE,VCVCVCVCV,5
abandonnerait,ab@dOn°RE,VCVCVCVCV,5
abandonneras,ab@dOn°Ra,VCVCVCVCV,5
abandonnerez,ab@dOn°Re,VCVCVCVCV,5
abandonneriez,ab@dOn°Rje,VCVCVCVCYV,5
abandonnerions,ab@dOn°Rj§,VCVCVCVCYV,5
abandonnerons,ab@dOn°R§,VCVCVCVCV,5
abandonneront,ab@dOn°R§,VCVCVCVCV,5
abandonnes,ab@dOn,VCVCVC,3
abandonneurs,ab@don9R,VCVCVCVC,4
abandonnez,ab@done,VCVCVCV,4
abandonniez,ab@donje,VCVCVCYV,4
abandonnions,ab@donj§,VCVCVCYV,4
abandonnique,ab@donik,VCVCVCVC,4
abandonnons,ab@don§,VCVCVCV,4
abandonnâmes,ab@donam,VCVCVCVC,4
abandonnât,ab@dona,VCVCVCV,4
abandonnèrent,ab@donER,VCVCVCVC,4
abandonné,ab@done,VCVCVCV,4
abandonné,ab@done,VCVCVCV,4
abandonnée,ab@done,VCVCVCV,4
abandonnée,ab@done,VCVCVCV,4
abandonnées,ab@done,VCVCVCV,4
abandonnées,ab@done,VCVCVCV,4
abandonnés,ab@done,VCVCVCV,4
abandonnés,ab@done,VCVCVCV,4
abandons,ab@d§,VCVCV,3
abaque,abak,VCVC,2
abasourdi,abazuRdi,VCVCVCCV,4
abasourdi,abazuRdi,VCVCVCCV,4
abasourdie,abazuRdi,VCVCVCCV,4
abasourdie,abazuRdi,VCVCVCCV,4
abasourdir,abazuRdiR,VCVCVCCVC,4
abasourdis,abazuRdi,VCVCVCCV,4
abasourdis,abazuRdi,VCVCVCCV,4
abasourdissant,abazuRdis@,VCVCVCCVCV,5
abasourdissants,abazuRdis@,VCVCVCCVCV,5
abat,aba,VCV,2
abat,aba,VCV,2
abat-jour,abaZuR,VCVCVC,3
abat-son,abas§,VCVCV,3
abatage,abataZ,VCVCVC,3
abatis,abati,VCVCV,3
abats,aba,VCV,2
abats,aba,VCV,2
abattage,abataZ,VCVCVC,3
abattages,abataZ,VCVCVC,3
abattaient,abatE,VCVCV,3
abattais,abatE,VCVCV,3
abattait,abatE,VCVCV,3
abattant,abat@,VCVCV,3
abattant,abat@,VCVCV,3
abattants,abat@,VCVCV,3
abatte,abat,VCVC,2
abattement,abat°m@,VCVCVCV,4
abattements,abat°m@,VCVCVCV,4
abattent,abat,VCVC,2
abattes,abat,VCVC,2
abatteur,abat9R,VCVCVC,3
abatteurs,abat9R,VCVCVC,3
abattez,abate,VCVCV,3
abattiez,abatje,VCVCYV,3
abattions,abatj§,VCVCYV,3
abattirent,abatiR,VCVCVC,3
abattis,abati,VCVCV,3
abattis,abati,VCVCV,3
abattit,abati,VCVCV,3
abattoir,abatwaR,VCVCYVC,3
abattoirs,abatwaR,VCVCYVC,3
abattons,abat§,VCVCV,3
abattra,abatRa,VCVCCV,3
abattrai,abatRE,VCVCCV,3
abattraient,abatRE,VCVCCV,3
abattrais,abatRE,VCVCCV,3
abattrait,abatRE,VCVCCV,3
abattras,abatRa,VCVCCV,3
abattre,abatR,VCVCC,2
abattrez,abatRe,VCVCCV,3
abattriez,abatRie,VCVCCVV,4
abattrons,abatR§,VCVCCV,3
abattront,abatR§,VCVCCV,3
abattu,abaty,VCVCV,3
abattu,abaty,VCVCV,3
abattu,abaty,VCVCV,3
abattue,abaty,VCVCV,3
abattue,abaty,VCVCV,3
abattues,abaty,VCVCV,3
abattues,abaty,VCVCV,3
abattures,abatyR,VCVCVC,3
abattus,abaty,VCVCV,3
abattus,abaty,VCVCV,3
abattus,abaty,VCVCV,3
abbatial,abasjal,VCVCYVC,3
abbatiale,abasjal,VCVCYVC,3
abbatiale,abasjal,VCVCYVC,3
abbatiales,abasjal,VCVCYVC,3
abbaye,abei,VCVV,3
abbayes,abei,VCVV,3
abbesse,abEs,VCVC,2
abbesses,abEs,VCVC,2
abbé,abe,VCV,2
abbés,abe,VCV,2
abc,abese,VCVCV,3
abcès,apsE,VCCV,2
abdication,abdikasj§,VCCVCVCYV,4
abdications,abdikasj§,VCCVCVCYV,4
abdiqua,abdika,VCCVCV,3
abdiquai,abdikE,VCCVCV,3
abdiquaient,abdikE,VCCVCV,3
abdiquais,abdikE,VCCVCV,3
abdiquait,abdikE,VCCVCV,3
abdiquant,abdik@,VCCVCV,3
abdique,abdik,VCCVC,2
abdiquer,abdike,VCCVCV,3
abdiquera,abdik°Ra,VCCVCVCV,4
abdiquerais,abdik°RE,VCCVCVCV,4
abdiquerait,abdik°RE,VCCVCVCV,4
abdiquez,abdike,VCCVCV,3
abdiqué,abdike,VCCVCV,3
abdiquée,abdike,VCCVCV,3
abdomen,abdomEn,VCCVCVC,3
abdominal,abdominal,VCCVCVCVC,4
abdominale,abdominal,VCCVCVCVC,4
abdominales,abdominal,VCCVCVCVC,4
abdominaux,abdomino,VCCVCVCV,4
abdominaux,abdomino,VCCVCVCV,4
abdos,abdo,VCCV,2
abducteur,abdykt9R,VCCVCCVC,3
abduction,abdyksj§,VCCVCCYV,3
abeille,abEj,VCVY,2
abeilles,abEj,VCVY,2
aber,abe,VCV,2
aberrant,abER@,VCVCV,3
aberrant,abER@,VCVCV,3
aberrante,abER@t,VCVCVC,3
aberrantes,abER@t,VCVCVC,3
aberrants,abER@,VCVCV,3
aberration,abERasj§,VCVCVCYV,4
aberrations,abERasj§,VCVCVCYV,4
abhorrais,abORE,VCVCV,3
abhorrait,abORE,VCVCV,3
abhorrant,abOR@,VCVCV,3
abhorre,abOR,VCVC,2
abhorrer,abORe,VCVCV,3
abhorrez,abORe,VCVCV,3
abhorré,abORe,VCVCV,3
abhorré,abORe,VCVCV,3
abhorrée,abORe,VCVCV,3
abhorrée,abORe,VCVCV,3
abhorrés,abORe,VCVCV,3
abject,abZEkt,VCCVCC,2
abjecte,abZEkt,VCCVCC,2
abjectement,abZEkt°m@,VCCVCCVCV,4
abjectes,abZEkt,VCCVCC,2
abjection,abZEksj§,VCCVCCYV,3
abjections,abZEksj§,VCCVCCYV,3
abjects,abZEkt,VCCVCC,2
abjurant,abZyR@,VCCVCV,3
abjuration,abZyRasj§,VCCVCVCYV,4
abjurations,abZyRasj§,VCCVCVCYV,4
abjure,abZyR,VCCVC,2
abjurer,abZyRe,VCCVCV,3
abjurez,abZyRe,VCCVCV,3
abjurons,abZyR§,VCCVCV,3
abjuré,abZyRe,VCCVCV,3
abkhaze,abkaz,VCCVC,2
ablatif,ablatif,VCCVCVC,3
ablation,ablasj§,VCCVCYV,3
ablations,ablasj§,VCCVCYV,3
able,abl,VCC,1
ablette,ablEt,VCCVC,2
ablettes,ablEt,VCCVC,2
ablution,ablysj§,VCCVCYV,3
ablutions,ablysj§,VCCVCYV,3
abnégation,abnegasj§,VCCVCVCYV,4
aboi,abwa,VCYV,2
aboie,abwa,VCYV,2
aboiement,abwam@,VCYVCV,3
aboiements,abwam@,VCYVCV,3
aboient,abwa,VCYV,2
aboiera,abwaRa,VCYVCV,3
aboierait,abwaRE,VCYVCV,3
